case,source,output,bytes,quality
gwangju-bukgu-gwangsangu-commercial-water-leak,광주북구 광산구 누수탐지/8.jpg,assets/cases/leak-v71/gwangju-bukgu-gwangsangu-commercial-water-leak/01.webp,231080,84
gwangju-bukgu-gwangsangu-commercial-water-leak,광주북구 광산구 누수탐지/9.jpg,assets/cases/leak-v71/gwangju-bukgu-gwangsangu-commercial-water-leak/02.webp,266388,84
gwangju-bukgu-gwangsangu-commercial-water-leak,광주북구 광산구 누수탐지/6.jpg,assets/cases/leak-v71/gwangju-bukgu-gwangsangu-commercial-water-leak/03.webp,113390,84
gwangju-bukgu-gwangsangu-commercial-water-leak,광주북구 광산구 누수탐지/1.jpg,assets/cases/leak-v71/gwangju-bukgu-gwangsangu-commercial-water-leak/04.webp,218118,84
gwangju-bukgu-gwangsangu-commercial-water-leak,광주북구 광산구 누수탐지/14.jpg,assets/cases/leak-v71/gwangju-bukgu-gwangsangu-commercial-water-leak/05.webp,260970,84
gwangju-bukgu-gwangsangu-commercial-water-leak,광주북구 광산구 누수탐지/2.jpg,assets/cases/leak-v71/gwangju-bukgu-gwangsangu-commercial-water-leak/06.webp,139422,84
gwangju-seogu-namgu-apartment-hot-water-leak,광주서구남구누수탐지/18.jpg,assets/cases/leak-v71/gwangju-seogu-namgu-apartment-hot-water-leak/01.webp,314058,80
gwangju-seogu-namgu-apartment-hot-water-leak,광주서구남구누수탐지/8.jpg,assets/cases/leak-v71/gwangju-seogu-namgu-apartment-hot-water-leak/02.webp,77548,84
gwangju-seogu-namgu-apartment-hot-water-leak,광주서구남구누수탐지/9.jpg,assets/cases/leak-v71/gwangju-seogu-namgu-apartment-hot-water-leak/03.webp,205594,84
gwangju-seogu-namgu-apartment-hot-water-leak,광주서구남구누수탐지/6.jpg,assets/cases/leak-v71/gwangju-seogu-namgu-apartment-hot-water-leak/04.webp,131240,84
gwangju-seogu-namgu-apartment-hot-water-leak,광주서구남구누수탐지/1.jpg,assets/cases/leak-v71/gwangju-seogu-namgu-apartment-hot-water-leak/05.webp,103334,84
gwangju-seogu-namgu-apartment-hot-water-leak,광주서구남구누수탐지/14.jpg,assets/cases/leak-v71/gwangju-seogu-namgu-apartment-hot-water-leak/06.webp,314862,72
jangseong-house-heating-pipe-leak,장성누수탐지/9.jpg,assets/cases/leak-v71/jangseong-house-heating-pipe-leak/01.webp,268084,84
jangseong-house-heating-pipe-leak,장성누수탐지/8.jpg,assets/cases/leak-v71/jangseong-house-heating-pipe-leak/02.webp,87516,84
jangseong-house-heating-pipe-leak,장성누수탐지/6.jpg,assets/cases/leak-v71/jangseong-house-heating-pipe-leak/03.webp,179948,84
jangseong-house-heating-pipe-leak,장성누수탐지/1.jpg,assets/cases/leak-v71/jangseong-house-heating-pipe-leak/04.webp,136240,84
jangseong-house-heating-pipe-leak,장성누수탐지/14.jpg,assets/cases/leak-v71/jangseong-house-heating-pipe-leak/05.webp,315322,76
jangseong-house-heating-pipe-leak,장성누수탐지/2.jpg,assets/cases/leak-v71/jangseong-house-heating-pipe-leak/06.webp,82882,84
jeonnam-gwangju-apartment-cold-water-leak,전남광주누수탐지2/9.jpg,assets/cases/leak-v71/jeonnam-gwangju-apartment-cold-water-leak/01.webp,63040,84
jeonnam-gwangju-apartment-cold-water-leak,전남광주누수탐지2/8.jpg,assets/cases/leak-v71/jeonnam-gwangju-apartment-cold-water-leak/02.webp,115580,84
jeonnam-gwangju-apartment-cold-water-leak,전남광주누수탐지2/6.jpg,assets/cases/leak-v71/jeonnam-gwangju-apartment-cold-water-leak/03.webp,72592,84
jeonnam-gwangju-apartment-cold-water-leak,전남광주누수탐지2/1.jpg,assets/cases/leak-v71/jeonnam-gwangju-apartment-cold-water-leak/04.webp,143494,84
jeonnam-gwangju-apartment-cold-water-leak,전남광주누수탐지2/18.jpg,assets/cases/leak-v71/jeonnam-gwangju-apartment-cold-water-leak/05.webp,114174,84
jeonnam-gwangju-apartment-cold-water-leak,전남광주누수탐지2/14.jpg,assets/cases/leak-v71/jeonnam-gwangju-apartment-cold-water-leak/06.webp,255226,84
jeongeup-gochang-apartment-heating-leak,정읍 고창누수탐지1/7.jpg,assets/cases/leak-v71/jeongeup-gochang-apartment-heating-leak/01.webp,128202,84
jeongeup-gochang-apartment-heating-leak,정읍 고창누수탐지1/8.jpg,assets/cases/leak-v71/jeongeup-gochang-apartment-heating-leak/02.webp,96816,84
jeongeup-gochang-apartment-heating-leak,정읍 고창누수탐지1/9.jpg,assets/cases/leak-v71/jeongeup-gochang-apartment-heating-leak/03.webp,179178,84
jeongeup-gochang-apartment-heating-leak,정읍 고창누수탐지1/6.jpg,assets/cases/leak-v71/jeongeup-gochang-apartment-heating-leak/04.webp,136194,84
jeongeup-gochang-apartment-heating-leak,정읍 고창누수탐지1/1.jpg,assets/cases/leak-v71/jeongeup-gochang-apartment-heating-leak/05.webp,29962,84
jeongeup-gochang-apartment-heating-leak,정읍 고창누수탐지1/14.jpg,assets/cases/leak-v71/jeongeup-gochang-apartment-heating-leak/06.webp,264878,84
gochang-yeonggwang-hot-water-pipe-leak,고창 영광 누수탐지/6.jpg,assets/cases/leak-v71/gochang-yeonggwang-hot-water-pipe-leak/01.webp,101226,84
gochang-yeonggwang-hot-water-pipe-leak,고창 영광 누수탐지/8.jpg,assets/cases/leak-v71/gochang-yeonggwang-hot-water-pipe-leak/02.webp,237138,84
gochang-yeonggwang-hot-water-pipe-leak,고창 영광 누수탐지/9.jpg,assets/cases/leak-v71/gochang-yeonggwang-hot-water-pipe-leak/03.webp,281748,84
gochang-yeonggwang-hot-water-pipe-leak,고창 영광 누수탐지/1.jpg,assets/cases/leak-v71/gochang-yeonggwang-hot-water-pipe-leak/04.webp,167728,84
gochang-yeonggwang-hot-water-pipe-leak,고창 영광 누수탐지/14.jpg,assets/cases/leak-v71/gochang-yeonggwang-hot-water-pipe-leak/05.webp,246318,84
gochang-yeonggwang-hot-water-pipe-leak,고창 영광 누수탐지/2.jpg,assets/cases/leak-v71/gochang-yeonggwang-hot-water-pipe-leak/06.webp,109878,84
yeongam-naju-house-heating-leak,영암 나주 누수탐지/9.jpg,assets/cases/leak-v71/yeongam-naju-house-heating-leak/01.webp,164048,84
yeongam-naju-house-heating-leak,영암 나주 누수탐지/8.jpg,assets/cases/leak-v71/yeongam-naju-house-heating-leak/02.webp,315978,84
yeongam-naju-house-heating-leak,영암 나주 누수탐지/6.jpg,assets/cases/leak-v71/yeongam-naju-house-heating-leak/03.webp,181724,84
yeongam-naju-house-heating-leak,영암 나주 누수탐지/1.jpg,assets/cases/leak-v71/yeongam-naju-house-heating-leak/04.webp,131048,84
yeongam-naju-house-heating-leak,영암 나주 누수탐지/14.jpg,assets/cases/leak-v71/yeongam-naju-house-heating-leak/05.webp,311650,84
yeongam-naju-house-heating-leak,영암 나주 누수탐지/2.jpg,assets/cases/leak-v71/yeongam-naju-house-heating-leak/06.webp,127288,84
jeonnam-gwangju-bathroom-waterproof-leak,전남광주누수탐지/7.jpg,assets/cases/leak-v71/jeonnam-gwangju-bathroom-waterproof-leak/01.webp,55314,84
jeonnam-gwangju-bathroom-waterproof-leak,전남광주누수탐지/8.jpg,assets/cases/leak-v71/jeonnam-gwangju-bathroom-waterproof-leak/02.webp,116628,84
jeonnam-gwangju-bathroom-waterproof-leak,전남광주누수탐지/9.jpg,assets/cases/leak-v71/jeonnam-gwangju-bathroom-waterproof-leak/03.webp,220312,84
jeonnam-gwangju-bathroom-waterproof-leak,전남광주누수탐지/6.jpg,assets/cases/leak-v71/jeonnam-gwangju-bathroom-waterproof-leak/04.webp,160626,84
jeonnam-gwangju-bathroom-waterproof-leak,전남광주누수탐지/1.jpg,assets/cases/leak-v71/jeonnam-gwangju-bathroom-waterproof-leak/05.webp,111468,84
jeonnam-gwangju-bathroom-waterproof-leak,전남광주누수탐지/18.jpg,assets/cases/leak-v71/jeonnam-gwangju-bathroom-waterproof-leak/06.webp,249582,84
naju-apartment-heating-leak,나주누수탐지/13.jpg,assets/cases/leak-v71/naju-apartment-heating-leak/01.webp,147424,84
naju-apartment-heating-leak,나주누수탐지/8.jpg,assets/cases/leak-v71/naju-apartment-heating-leak/02.webp,77144,84
naju-apartment-heating-leak,나주누수탐지/6.jpg,assets/cases/leak-v71/naju-apartment-heating-leak/04.webp,91254,84
naju-apartment-heating-leak,나주누수탐지/1.jpg,assets/cases/leak-v71/naju-apartment-heating-leak/05.webp,19994,84
naju-apartment-heating-leak,나주누수탐지/14.jpg,assets/cases/leak-v71/naju-apartment-heating-leak/06.webp,53864,84
gwangju-bukgu-house-heating-manifold-leak,광주북구 누수탐지/14.jpg,assets/cases/leak-v71/gwangju-bukgu-house-heating-manifold-leak/01.webp,160790,84
gwangju-bukgu-house-heating-manifold-leak,광주북구 누수탐지/8.jpg,assets/cases/leak-v71/gwangju-bukgu-house-heating-manifold-leak/02.webp,129242,84
gwangju-bukgu-house-heating-manifold-leak,광주북구 누수탐지/9.jpg,assets/cases/leak-v71/gwangju-bukgu-house-heating-manifold-leak/03.webp,182094,84
gwangju-bukgu-house-heating-manifold-leak,광주북구 누수탐지/6.jpg,assets/cases/leak-v71/gwangju-bukgu-house-heating-manifold-leak/04.webp,182990,84
gwangju-bukgu-house-heating-manifold-leak,광주북구 누수탐지/1.jpg,assets/cases/leak-v71/gwangju-bukgu-house-heating-manifold-leak/05.webp,138854,84
