image_id,source_webp,deploy_path,bytes,quality
IMG-001,20250831_163532.webp,/assets/media/ssos/img-001.webp,52546,84
IMG-002,20250831_154414(0).webp,/assets/media/ssos/img-002.webp,43264,84
IMG-003,20250831_164616(0).webp,/assets/media/ssos/img-003.webp,81764,84
IMG-004,20250831_152941.webp,/assets/media/ssos/img-004.webp,31022,84
IMG-006,20250831_163641(0).webp,/assets/media/ssos/img-006.webp,96338,84
IMG-014,20250910_144657(0).webp,/assets/media/ssos/img-014.webp,174646,84
IMG-015,20250910_145907(0).webp,/assets/media/ssos/img-015.webp,93504,84
IMG-016,20250910_145459.webp,/assets/media/ssos/img-016.webp,55848,84
IMG-017,20250910_153706(0).webp,/assets/media/ssos/img-017.webp,46036,84
IMG-019,20250910_162548(0).webp,/assets/media/ssos/img-019.webp,68830,84
IMG-028,20250916_164855.webp,/assets/media/ssos/img-028.webp,133130,84
IMG-029,20250916_164858(0).webp,/assets/media/ssos/img-029.webp,65316,84
IMG-030,20250916_165319(0).webp,/assets/media/ssos/img-030.webp,87876,84
IMG-031,20250916_163000(0).webp,/assets/media/ssos/img-031.webp,90566,84
IMG-033,20250916_164900(0).webp,/assets/media/ssos/img-033.webp,51904,84
IMG-041,20250902_160330.webp,/assets/media/ssos/img-041.webp,57754,84
IMG-042,20250902_144239(0).webp,/assets/media/ssos/img-042.webp,47150,84
IMG-043,20250902_160345.webp,/assets/media/ssos/img-043.webp,106936,84
IMG-044,20250902_160328.webp,/assets/media/ssos/img-044.webp,89696,84
IMG-046,20250902_115741.webp,/assets/media/ssos/img-046.webp,80906,84
