region,service,url,keywords,strong,weak,missing,coverage_percent
강진,drain,/regions/jeonnam/gangjin/drain/,11,1,0,10,9.1
고창,drain,/regions/jeonbuk/gochang/drain/,11,1,0,10,9.1
고흥,drain,/regions/jeonnam/goheung/drain/,11,1,0,10,9.1
곡성,drain,/regions/jeonnam/gokseong/drain/,11,1,0,10,9.1
광양,drain,/regions/jeonnam/gwangyang/drain/,11,1,0,10,9.1
광주광산구,drain,/regions/gwangju/gwangju-gwangsangu/drain/,11,1,0,10,9.1
광주남구,drain,/regions/gwangju/gwangju-namgu/drain/,11,1,1,9,9.1
광주동구,drain,/regions/gwangju/gwangju-donggu/drain/,11,1,1,9,9.1
광주북구,drain,/regions/gwangju/gwangju-bukgu/drain/,11,1,1,9,9.1
광주서구,drain,/regions/gwangju/gwangju-seogu/drain/,11,1,1,9,9.1
구례,drain,/regions/jeonnam/gurye/drain/,11,1,0,10,9.1
군산,drain,/regions/jeonbuk/gunsan/drain/,11,1,0,10,9.1
김제,drain,/regions/jeonbuk/gimje/drain/,11,1,0,10,9.1
나주,drain,/regions/jeonnam/naju/drain/,11,1,1,9,9.1
남원,drain,/regions/jeonbuk/namwon/drain/,11,1,0,10,9.1
담양,drain,/regions/jeonnam/damyang/drain/,11,1,2,8,9.1
목포,drain,/regions/jeonnam/mokpo/drain/,11,1,1,9,9.1
무안,drain,/regions/jeonnam/muan/drain/,11,1,0,10,9.1
무주,drain,/regions/jeonbuk/muju/drain/,11,1,0,10,9.1
보성,drain,/regions/jeonnam/boseong/drain/,11,1,0,10,9.1
부안,drain,/regions/jeonbuk/buan/drain/,11,1,0,10,9.1
순창,drain,/regions/jeonbuk/sunchang/drain/,11,1,0,10,9.1
순천,drain,/regions/jeonnam/suncheon/drain/,11,1,2,8,9.1
신안,drain,/regions/jeonnam/sinan/drain/,11,1,0,10,9.1
여수,drain,/regions/jeonnam/yeosu/drain/,11,1,0,10,9.1
영광,drain,/regions/jeonnam/yeonggwang/drain/,11,1,1,9,9.1
영암,drain,/regions/jeonnam/yeongam/drain/,11,1,0,10,9.1
완도,drain,/regions/jeonnam/wando/drain/,11,1,0,10,9.1
완주,drain,/regions/jeonbuk/wanju/drain/,11,1,0,10,9.1
익산,drain,/regions/jeonbuk/iksan/drain/,11,1,0,10,9.1
임실,drain,/regions/jeonbuk/imsil/drain/,11,1,0,10,9.1
장성,drain,/regions/jeonnam/jangseong/drain/,11,1,1,9,9.1
장수,drain,/regions/jeonbuk/jangsu/drain/,11,1,0,10,9.1
장흥,drain,/regions/jeonnam/jangheung/drain/,11,1,0,10,9.1
전주,drain,/regions/jeonbuk/jeonju/drain/,11,1,0,10,9.1
정읍,drain,/regions/jeonbuk/jeongeup/drain/,11,1,0,10,9.1
진도,drain,/regions/jeonnam/jindo/drain/,11,1,0,10,9.1
진안,drain,/regions/jeonbuk/jinan/drain/,11,1,0,10,9.1
함평,drain,/regions/jeonnam/hampyeong/drain/,11,1,0,10,9.1
해남,drain,/regions/jeonnam/haenam/drain/,11,1,0,10,9.1
화순,drain,/regions/jeonnam/hwasun/drain/,11,1,1,9,9.1
영암,leak,/regions/jeonnam/yeongam/leak/,12,0,1,11,0.0
함평,leak,/regions/jeonnam/hampyeong/leak/,12,0,1,11,0.0
고창,leak,/regions/jeonbuk/gochang/leak/,12,1,0,11,8.3
광주광산구,leak,/regions/gwangju/gwangju-gwangsangu/leak/,12,1,0,11,8.3
광주남구,leak,/regions/gwangju/gwangju-namgu/leak/,12,1,0,11,8.3
광주동구,leak,/regions/gwangju/gwangju-donggu/leak/,12,1,0,11,8.3
광주북구,leak,/regions/gwangju/gwangju-bukgu/leak/,12,1,0,11,8.3
광주서구,leak,/regions/gwangju/gwangju-seogu/leak/,12,1,0,11,8.3
나주,leak,/regions/jeonnam/naju/leak/,12,1,0,11,8.3
담양,leak,/regions/jeonnam/damyang/leak/,12,1,0,11,8.3
무안,leak,/regions/jeonnam/muan/leak/,12,1,0,11,8.3
순창,leak,/regions/jeonbuk/sunchang/leak/,12,1,0,11,8.3
영광,leak,/regions/jeonnam/yeonggwang/leak/,12,1,0,11,8.3
장성,leak,/regions/jeonnam/jangseong/leak/,12,1,0,11,8.3
정읍,leak,/regions/jeonbuk/jeongeup/leak/,12,1,0,11,8.3
화순,leak,/regions/jeonnam/hwasun/leak/,12,1,0,11,8.3
