slot_id,page,original_src,fallback_alt,fallback_caption
"cases--gwangju-namgu-drain-cleaning-01","cases/gwangju-namgu-drain-cleaning/index.html","/assets/cases/gwangju-namgu-drain-cleaning/01.webp","광주 남구 하수구 시공 현장 작업 과정 1","광주 남구 하수구 시공 현장 작업 과정 1"
"cases--gwangju-namgu-drain-cleaning-02","cases/gwangju-namgu-drain-cleaning/index.html","/assets/cases/gwangju-namgu-drain-cleaning/02.webp","광주 남구 하수구 시공 현장 작업 과정 2","광주 남구 하수구 시공 현장 작업 과정 2"
"cases--gwangju-namgu-drain-cleaning-03","cases/gwangju-namgu-drain-cleaning/index.html","/assets/cases/gwangju-namgu-drain-cleaning/03.webp","광주 남구 하수구 시공 현장 작업 과정 3","광주 남구 하수구 시공 현장 작업 과정 3"
"cases--gwangju-namgu-drain-cleaning-04","cases/gwangju-namgu-drain-cleaning/index.html","/assets/cases/gwangju-namgu-drain-cleaning/04.webp","광주 남구 하수구 시공 현장 작업 과정 4","광주 남구 하수구 시공 현장 작업 과정 4"
"cases--gwangju-namgu-drain-cleaning-05","cases/gwangju-namgu-drain-cleaning/index.html","/assets/cases/gwangju-namgu-drain-cleaning/05.webp","광주 남구 하수구 시공 현장 작업 과정 5","광주 남구 하수구 시공 현장 작업 과정 5"
"cases--gwangju-namgu-drain-cleaning-06","cases/gwangju-namgu-drain-cleaning/index.html","/assets/cases/gwangju-namgu-drain-cleaning/06.webp","광주 남구 하수구 시공 현장 작업 과정 6","광주 남구 하수구 시공 현장 작업 과정 6"
"cases--gwangju-namgu-drain-cleaning-07","cases/gwangju-namgu-drain-cleaning/index.html","/assets/cases/gwangju-namgu-drain-cleaning/07.webp","광주 남구 하수구 시공 현장 작업 과정 7","광주 남구 하수구 시공 현장 작업 과정 7"
"cases--gwangju-namgu-drain-cleaning-08","cases/gwangju-namgu-drain-cleaning/index.html","/assets/cases/gwangju-namgu-drain-cleaning/08.webp","광주 남구 하수구 시공 현장 작업 과정 8","광주 남구 하수구 시공 현장 작업 과정 8"
"cases--gwangju-namgu-drain-cleaning-09","cases/gwangju-namgu-drain-cleaning/index.html","/assets/cases/gwangju-namgu-drain-cleaning/09.webp","광주 남구 하수구 시공 현장 작업 과정 9","광주 남구 하수구 시공 현장 작업 과정 9"
"cases--gwangju-namgu-drain-cleaning-10","cases/gwangju-namgu-drain-cleaning/index.html","/assets/cases/gwangju-namgu-drain-cleaning/10.webp","광주 남구 하수구 시공 현장 작업 과정 10","광주 남구 하수구 시공 현장 작업 과정 10"
